"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"105",0.878,0,0,0,0.122
"106",0.98,0,0,0.02,0
"107",0.346,0,0,0.654,0
"108",0.02,0,0.008,0.348,0.624
"109",0.962,0,0,0,0.038
"110",0.826,0,0,0.02,0.154
"111",0.34,0,0,0.66,0
"112",0.98,0,0,0.02,0
"113",0.2,0,0,0.798,0.002
"114",0.346,0,0,0.654,0
"115",0.006,0,0,0,0.994
"116",0.896,0,0,0.072,0.032
"117",0.994,0,0,0,0.006
"118",0.018,0,0.018,0.864,0.1
"119",0.158,0,0.002,0.84,0
"120",0.056,0,0.016,0.004,0.924
"121",1,0,0,0,0
"122",1,0,0,0,0
"123",1,0,0,0,0
"124",0,0,0,0,1
"125",0.006,0,0,0,0.994
"126",0.988,0,0,0,0.012
"127",0.07,0,0.094,0,0.836
"128",1,0,0,0,0
"129",1,0,0,0,0
"130",1,0,0,0,0
"131",0.878,0,0,0.122,0
"132",1,0,0,0,0
"133",0.96,0,0,0,0.04
"134",0.94,0,0,0.06,0
"135",0.898,0,0,0.032,0.07
"136",0.916,0,0,0.084,0
"137",0.586,0,0,0.046,0.368
"138",0,0,0,0,1
"139",0.254,0,0,0.746,0
"140",0.866,0,0,0.134,0
"141",0.996,0,0,0.004,0
"142",0.052,0,0,0,0.948
"143",0.288,0,0,0.712,0
"144",0.282,0,0,0.718,0
"145",0.988,0,0,0.012,0
"146",0.3,0,0,0.7,0
"147",0.698,0,0.008,0.096,0.198
"148",0.188,0,0,0.812,0
"149",0,0,0,0,1
"150",0.056,0,0,0,0.944
"151",0.178,0,0.12,0,0.702
"152",0,0,0.012,0,0.988
"153",1,0,0,0,0
"154",0.072,0,0.002,0.602,0.324
"155",0.9,0,0,0,0.1
"156",0.998,0,0,0,0.002
"157",0.206,0,0,0.794,0
"158",0,0,0,0,1
"159",0.86,0,0,0.056,0.084
"160",0.812,0,0,0.18,0.008
"161",0.938,0,0,0.056,0.006
"162",0.976,0,0,0.024,0
"163",0.004,0.002,0,0.002,0.992
"164",1,0,0,0,0
"165",0.28,0,0,0.706,0.014
"166",1,0,0,0,0
"167",0.98,0,0,0.02,0
"168",0.956,0,0,0.044,0
"169",0.774,0,0,0.19,0.036
"170",1,0,0,0,0
"171",0,0.002,0.314,0.008,0.676
"172",0.958,0,0,0.042,0
"173",0.34,0,0,0.66,0
"174",0.314,0,0,0.686,0
"175",0.91,0,0,0.09,0
"176",0.104,0,0,0,0.896
"177",0.21,0,0,0.772,0.018
"178",0.882,0,0,0,0.118
"179",0.736,0,0,0.044,0.22
"180",0.032,0,0.004,0.002,0.962
"181",0,0,0,0,1
"182",0.268,0,0,0,0.732
"183",0.98,0,0,0.02,0
"184",0.076,0,0.004,0.184,0.736
"185",0.43,0,0,0.57,0
"186",0.372,0,0,0.628,0
"187",0,0,0,0,1
"188",0.952,0,0,0.048,0
"189",0.994,0,0,0,0.006
"190",1,0,0,0,0
"191",0.314,0,0,0.686,0
"192",0.43,0,0,0.57,0
"193",0.194,0,0.096,0.108,0.602
"194",0.936,0,0,0,0.064
"195",1,0,0,0,0
"196",1,0,0,0,0
"197",0.986,0,0,0.014,0
"198",0.976,0,0,0.024,0
"199",0.444,0,0,0.556,0
"200",0.964,0,0,0.032,0.004
"201",0,0.026,0,0,0.974
"202",0.758,0,0,0.074,0.168
"203",0.918,0,0,0.068,0.014
"204",0.91,0,0,0.004,0.086
"205",0.072,0,0.002,0.602,0.324
"206",0.736,0,0,0.006,0.258
"207",0.98,0,0,0.02,0
"208",0.024,0,0.008,0.612,0.356
"209",0.86,0,0,0.14,0
"210",0.864,0,0,0.136,0
"211",0.014,0.002,0.144,0,0.84
"212",0.198,0,0,0.802,0
"213",0.272,0,0,0.728,0
"214",0.8,0,0,0.002,0.198
"215",0,0,0,0,1
"216",0.566,0,0.002,0.05,0.382
"217",0.932,0,0,0,0.068
"218",0.614,0,0.08,0.022,0.284
"219",0.98,0,0,0.02,0
"220",0.22,0,0,0.78,0
"221",0.068,0,0,0.27,0.662
"222",0.042,0,0,0,0.958
"223",0.112,0,0,0,0.888
"224",0.988,0,0,0.012,0
"225",0.05,0,0.188,0.704,0.058
"226",0.956,0,0,0.044,0
"227",0.024,0,0.01,0,0.966
"228",0.004,0,0,0,0.996
"229",0.908,0,0,0.092,0
"230",0.028,0,0,0,0.972
"231",1,0,0,0,0
"232",0.998,0,0,0,0.002
"233",0,0,0,0,1
"234",0.018,0,0,0.396,0.586
"235",0.216,0,0,0.784,0
"236",1,0,0,0,0
"237",0.346,0,0,0.654,0
"238",0.06,0,0.006,0,0.934
"239",0.982,0,0,0.018,0
"240",0.93,0,0,0.002,0.068
"241",0.96,0,0,0,0.04
"242",0.258,0,0,0.742,0
"243",0.96,0,0,0,0.04
"244",0.826,0,0,0.02,0.154
"245",0.91,0,0,0.09,0
"246",0.194,0,0,0.806,0
"247",0.732,0,0,0,0.268
"248",0.798,0,0,0,0.202
"249",0.206,0,0,0.792,0.002
"250",0.964,0,0,0,0.036
"251",0.004,0,0,0.054,0.942
"252",0.288,0,0,0.712,0
"253",0,0,0,0,1
"254",0.216,0,0,0.784,0
"255",0,0,0,0,1
"256",0.942,0,0,0.056,0.002
"257",0.538,0,0.024,0.056,0.382
"258",0.888,0,0,0,0.112
"259",0.2,0,0,0.8,0
"260",0.942,0,0,0,0.058
"261",1,0,0,0,0
"262",0.986,0,0,0.014,0
"263",0.978,0,0,0.002,0.02
"264",0.884,0,0,0.116,0
"265",0.306,0,0,0.694,0
"266",0.716,0,0,0.062,0.222
"267",0.044,0,0.008,0,0.948
"268",0,0,0,0,1
"269",0,0.01,0.064,0.002,0.924
"270",0.972,0,0,0,0.028
"271",0.01,0,0,0,0.99
"272",0.108,0,0.036,0,0.856
"273",0.074,0,0,0.586,0.34
"274",0.352,0,0.14,0.078,0.43
"275",0.08,0,0.108,0.004,0.808
"276",0,0,0,0,1
"277",0,0,0,0,1
"278",0.056,0,0.016,0.004,0.924
"279",0.634,0,0,0.006,0.36
"280",0.034,0,0,0.008,0.958
"281",0.508,0,0,0.492,0
"282",0.264,0,0,0.716,0.02
"283",0.042,0,0,0,0.958
"284",1,0,0,0,0
"285",0.216,0,0,0.784,0
"286",0.866,0,0,0.134,0
"287",0.056,0,0.088,0,0.856
"288",0,0,0,0,1
"289",0.988,0,0,0.012,0
"290",0.272,0,0,0.728,0
"291",0.89,0,0,0,0.11
"292",1,0,0,0,0
"293",0.956,0,0,0,0.044
"294",0.036,0,0.034,0.16,0.77
"295",0.192,0,0,0.808,0
"296",0.042,0,0,0,0.958
"297",0.864,0,0,0.136,0
"298",0.038,0.052,0.154,0.034,0.722
"299",0.958,0,0,0.042,0
"300",0.648,0,0,0.028,0.324
"301",0.866,0,0,0.134,0
"302",1,0,0,0,0
"303",0.998,0,0,0,0.002
"304",0.952,0,0,0.048,0
"305",0.03,0.002,0.606,0.028,0.334
"306",0.186,0,0.02,0.794,0
"307",1,0,0,0,0
"308",0.622,0,0,0.004,0.374
"309",0.998,0,0,0,0.002
"310",0.028,0.016,0,0,0.956
"311",0.716,0,0,0.062,0.222
"312",0.956,0,0,0,0.044
"313",0.01,0,0,0,0.99
"314",0.444,0,0,0.556,0
"315",0.034,0,0,0,0.966
"316",0.294,0,0,0.706,0
"317",0.288,0,0,0.712,0
"318",0.892,0,0,0,0.108
"319",0,0,0,0,1
"320",0.91,0,0,0.09,0
"321",0.562,0,0,0.024,0.414
"322",0,0,0,0,1
"323",0,0,0,0,1
"324",0.964,0,0,0,0.036
"325",1,0,0,0,0
"326",1,0,0,0,0
"327",1,0,0,0,0
"328",0.346,0,0,0.654,0
"329",0.948,0,0,0.04,0.012
"330",0.068,0,0,0.108,0.824
"331",0.33,0,0.018,0.644,0.008
"332",0.006,0,0,0,0.994
"333",1,0,0,0,0
"334",0.972,0,0,0,0.028
"335",0.042,0,0.004,0,0.954
"336",1,0,0,0,0
"337",0.002,0,0.41,0.006,0.582
"338",0.854,0,0,0.098,0.048
"339",0.036,0,0.014,0,0.95
"340",0.958,0,0,0.042,0
"341",0.186,0.002,0.052,0.06,0.7
"342",1,0,0,0,0
"343",0.018,0,0.612,0.066,0.304
"344",0.826,0,0,0.11,0.064
"345",0.696,0,0,0.004,0.3
"346",0.878,0,0,0.122,0
"347",0.158,0,0.002,0.808,0.032
"348",0.06,0.002,0,0,0.938
"349",0.188,0,0,0.81,0.002
"350",0.908,0,0,0.092,0
"351",0.998,0,0,0,0.002
"352",0,0,0,0,1
"353",0.192,0,0,0.808,0
"354",1,0,0,0,0
"355",0.98,0,0,0.02,0
"356",0.024,0,0.036,0,0.94
"357",0.926,0,0,0.002,0.072
"358",0.826,0,0,0,0.174
"359",0.12,0,0,0,0.88
"360",0.826,0,0,0,0.174
"361",0.966,0,0,0,0.034
"362",0.098,0.018,0.002,0.354,0.528
"363",0.244,0,0,0.74,0.016
"364",0.964,0,0,0,0.036
"365",0.888,0,0,0,0.112
"366",0.002,0,0.698,0.002,0.298
"367",0.92,0,0,0,0.08
"368",0.012,0,0.704,0.034,0.25
"369",0,0,0,0,1
"370",0.908,0,0,0.002,0.09
"371",0.988,0,0,0.012,0
"372",0.936,0,0,0,0.064
"373",1,0,0,0,0
"374",0.208,0,0.004,0.774,0.014
"375",0,0,0,0,1
"376",0.26,0,0,0.74,0
"377",0.982,0,0,0.018,0
"378",0.988,0,0,0.012,0
"379",0.984,0,0,0.016,0
"380",0.186,0.028,0,0,0.786
"381",0.96,0,0,0,0.04
"382",0,0,0,0,1
"383",0,0,0,0,1
"384",0,0,0,0,1
"385",0.324,0,0,0.668,0.008
"386",0.194,0,0,0.806,0
"387",0,0,0,0,1
"388",0.796,0,0,0.046,0.158
"389",1,0,0,0,0
"390",1,0,0,0,0
"391",0.03,0,0.102,0.638,0.23
"392",0,0,0,0,1
"393",1,0,0,0,0
"394",0.022,0,0,0,0.978
"395",0.866,0,0,0.134,0
"396",0.19,0,0.006,0.79,0.014
"397",0.068,0,0.048,0.652,0.232
"398",0.492,0,0,0,0.508
"399",0.994,0,0,0.006,0
"400",1,0,0,0,0
"401",0.96,0,0,0,0.04
"402",0.972,0,0,0.024,0.004
"403",0.986,0,0,0.014,0
"404",0,0,0,0,1
"405",0.61,0,0,0,0.39
"406",0.236,0,0,0.764,0
"407",1,0,0,0,0
"408",0.238,0,0.004,0.758,0
"409",0.998,0,0,0,0.002
"410",0,0,0,0,1
"411",0.076,0,0,0.308,0.616
"412",1,0,0,0,0
"413",0.98,0,0,0.02,0
"414",1,0,0,0,0
"415",0.264,0,0,0.726,0.01
"416",1,0,0,0,0
"417",0.508,0,0,0.492,0
"418",0.864,0,0,0.136,0
"419",0.998,0,0,0,0.002
"420",0.92,0,0,0,0.08
"421",1,0,0,0,0
"422",0,0,0,0,1
"423",0,0,0,0,1
"424",1,0,0,0,0
"425",0.864,0,0,0.004,0.132
"426",0.004,0,0.002,0,0.994
"427",0.932,0,0,0,0.068
"428",0,0,0,0,1
"429",0.08,0,0,0,0.92
"430",0,0,0,0,1
"431",0.912,0,0,0,0.088
"432",0.444,0,0,0.556,0
"433",0.98,0,0,0.02,0
"434",0.26,0,0,0.74,0
"435",0,0,0,0,1
"436",0,0,0,0,1
"437",0.934,0,0,0,0.066
"438",0.956,0,0,0.044,0
"439",0,0,0,0,1
"440",0.938,0,0,0,0.062
"441",0.034,0,0.004,0.048,0.914
"442",0.94,0,0,0.056,0.004
"443",0.908,0,0,0.002,0.09
"444",0.256,0,0,0.744,0
"445",0.916,0,0,0.084,0
"446",0.98,0,0,0.02,0
"447",0.758,0.002,0,0.038,0.202
"448",0.056,0,0,0,0.944
"449",0.282,0,0,0,0.718
"450",0.09,0,0.002,0.002,0.906
"451",0,0,0,0,1
"452",0.762,0,0.032,0.064,0.142
"453",0.98,0,0,0.02,0
"454",0,0,0.012,0,0.988
"455",0.866,0,0,0.134,0
"456",0.952,0,0,0.048,0
"457",0.924,0,0,0,0.076
"458",0.064,0,0.004,0.196,0.736
"459",0.974,0,0,0,0.026
"460",0,0,0,0,1
"461",0.974,0,0,0.026,0
"462",0.296,0,0,0.704,0
"463",0,0,0,0,1
"464",0.076,0,0,0.732,0.192
"465",0.908,0,0,0.092,0
"466",0.986,0,0,0.014,0
"467",0.038,0.002,0.274,0.04,0.646
"468",0.842,0,0.002,0.066,0.09
"469",0.74,0,0,0.002,0.258
"470",0.884,0,0,0.004,0.112
"471",0.01,0,0,0,0.99
"472",0.006,0,0.496,0.056,0.442
"473",0.956,0,0,0,0.044
"474",0.956,0,0,0.044,0
"475",0.98,0,0,0.02,0
"476",0.562,0,0,0.012,0.426
"477",0,0,0,0,1
"478",0.346,0,0,0.654,0
"479",0.008,0,0,0,0.992
"480",0.956,0,0,0,0.044
"481",0.068,0,0,0.796,0.136
"482",0.074,0,0.06,0.244,0.622
"483",0.188,0,0,0.812,0
"484",0.022,0,0,0,0.978
"485",0.74,0.004,0,0.056,0.2
"486",0.018,0,0.002,0.824,0.156
"487",0.998,0,0,0,0.002
"488",0.888,0,0,0.09,0.022
"489",0.052,0,0,0,0.948
"490",0,0,0,0,1
"491",0,0,0,0,1
"492",0.068,0,0,0.27,0.662
"493",0.236,0,0,0.764,0
"494",0.916,0,0,0.084,0
"495",0.14,0,0.002,0.002,0.856
"496",0.864,0,0,0.004,0.132
"497",0.592,0,0,0.008,0.4
"498",0.986,0,0,0.014,0
"499",1,0,0,0,0
"500",0.282,0,0,0.718,0
"501",0.946,0,0,0,0.054
"502",0.27,0,0,0.73,0
"503",0.114,0,0,0,0.886
"504",1,0,0,0,0
"505",0.43,0,0,0.57,0
"506",0.272,0,0,0.728,0
"507",0.064,0,0.004,0.196,0.736
"508",0.952,0,0,0.048,0
"509",0.508,0,0,0.492,0
"510",1,0,0,0,0
"511",0.94,0,0.002,0.016,0.042
"512",0.22,0,0,0.78,0
"513",0.986,0,0,0.014,0
"514",0.102,0,0.006,0,0.892
"515",0.214,0,0,0.786,0
"516",0.764,0,0,0.05,0.186
"517",0.036,0,0,0.008,0.956
"518",0.702,0,0,0.05,0.248
"519",0,0,0,0,1
"520",0,0,0,0,1
"521",0.98,0,0,0.02,0
"522",0.634,0,0,0.006,0.36
"523",0.976,0,0,0,0.024
"524",0.828,0,0,0.038,0.134
"525",0.998,0,0,0,0.002
"526",0.2,0,0,0.8,0
"527",0.984,0,0,0.016,0
"528",0.22,0,0,0.78,0
"529",0,0,0,0,1
"530",1,0,0,0,0
"531",0,0.002,0.002,0,0.996
"532",0.952,0,0,0.048,0
"533",0.936,0,0,0,0.064
"534",0.914,0,0,0.006,0.08
"535",0.006,0,0,0,0.994
"536",0.972,0,0,0,0.028
"537",0.98,0,0,0.02,0
"538",0.888,0,0,0,0.112
"539",0.218,0,0,0.774,0.008
"540",0.024,0,0.014,0.578,0.384
"541",0.032,0,0.01,0.002,0.956
"542",0,0,0,0,1
"543",1,0,0,0,0
"544",0.002,0,0.044,0,0.954
"545",0.024,0.002,0.02,0,0.954
"546",0.988,0,0,0.012,0
"547",0,0,0,0,1
"548",0.986,0,0,0.014,0
"549",0.042,0,0.592,0.044,0.322
"550",0,0,0,0,1
"551",0.98,0,0,0.018,0.002
"552",0.986,0,0,0.014,0
"553",0.982,0,0,0.018,0
"554",1,0,0,0,0
"555",0,0,0,0,1
"556",0.036,0,0,0.008,0.956
"557",0.02,0,0,0.916,0.064
"558",1,0,0,0,0
"559",0.972,0,0,0,0.028
"560",0.274,0,0.004,0.722,0
"561",0.916,0,0,0.084,0
"562",0.176,0,0.002,0.816,0.006
"563",0.018,0,0.024,0.406,0.552
"564",0.986,0,0,0.014,0
"565",0,0,0,0,1
"566",0.916,0,0,0.042,0.042
"567",0.004,0,0.002,0,0.994
"568",0.868,0,0,0.04,0.092
"569",0.288,0,0,0.712,0
"570",1,0,0,0,0
"571",0.966,0,0,0.03,0.004
"572",0.236,0,0,0.764,0
"573",0.072,0,0,0.132,0.796
"574",0,0,0,0,1
"575",1,0,0,0,0
"576",0.998,0,0,0,0.002
"577",0.232,0,0,0.768,0
"578",1,0,0,0,0
"579",0,0,0,0,1
"580",0.98,0,0,0.02,0
"581",0.208,0,0,0.79,0.002
"582",0,0,0,0,1
"583",0.236,0,0,0.764,0
"584",0.846,0,0,0.006,0.148
"585",0.736,0,0,0.006,0.258
"586",0.06,0.002,0,0,0.938
"587",0.936,0,0,0,0.064
"588",0.034,0,0.172,0,0.794
"589",0.45,0,0,0.018,0.532
"590",1,0,0,0,0
"591",0.762,0,0,0.194,0.044
"592",0.22,0,0,0.78,0
"593",0,0,0,0,1
"594",0.198,0,0.006,0.79,0.006
"595",0.878,0,0,0,0.122
"596",0.188,0,0,0.812,0
"597",0.888,0,0.016,0.052,0.044
"598",0.508,0,0,0.492,0
"599",1,0,0,0,0
"600",0.086,0,0,0,0.914
"601",0,0,0,0,1
"602",0.984,0,0,0.016,0
"603",0.784,0,0.006,0.06,0.15
"604",0.02,0,0.058,0.87,0.052
"605",0,0,0,0,1
"606",0,0,0,0,1
"607",0.656,0,0,0.004,0.34
"608",0.106,0,0.076,0,0.818
"609",0,0,0,0,1
"610",0.104,0,0.008,0.18,0.708
"611",1,0,0,0,0
"612",0.826,0,0,0.02,0.154
"613",0.98,0,0,0.002,0.018
"614",0.724,0,0,0.052,0.224
"615",1,0,0,0,0
"616",0.314,0,0,0.686,0
"617",0.896,0,0.004,0.024,0.076
"618",0.864,0,0,0.136,0
"619",1,0,0,0,0
"620",1,0,0,0,0
"621",0.056,0,0,0,0.944
"622",0.614,0,0,0.052,0.334
"623",0.11,0,0.02,0,0.87
"624",0.272,0,0,0.728,0
"625",0.908,0,0,0.092,0
"626",0.1,0,0,0.004,0.896
"627",0.694,0,0,0.09,0.216
"628",0.09,0.002,0.134,0,0.774
"629",0.866,0,0,0.134,0
"630",0,0,0,0,1
"631",0.28,0,0,0.706,0.014
"632",0.998,0,0,0,0.002
"633",0.998,0,0,0,0.002
"634",0.954,0,0,0.002,0.044
"635",0,0,0,0,1
"636",0.752,0,0,0,0.248
"637",1,0,0,0,0
"638",0.988,0,0,0.012,0
"639",0,0,0,0,1
"640",1,0,0,0,0
"641",0.01,0,0,0,0.99
"642",0.056,0,0,0,0.944
"643",0.01,0,0,0,0.99
"644",0.812,0,0,0.18,0.008
"645",0.994,0,0,0.002,0.004
"646",0.518,0,0,0.482,0
"647",0.518,0,0,0.482,0
"648",0,0,0,0,1
"649",0.034,0,0,0.022,0.944
"650",0,0,0,0,1
"651",0,0,0,0,1
"652",0.98,0,0,0.02,0
"653",0.218,0,0.006,0.774,0.002
"654",0.898,0,0,0.006,0.096
"655",1,0,0,0,0
"656",0.084,0,0,0.098,0.818
"657",0.054,0,0,0,0.946
"658",0.986,0,0,0.014,0
"659",1,0,0,0,0
"660",0.518,0,0,0.482,0
"661",0,0,0,0,1
"662",0.914,0,0,0.006,0.08
"663",0.976,0,0,0.024,0
"664",0.194,0,0,0.806,0
"665",0.94,0,0,0.036,0.024
"666",1,0,0,0,0
"667",0.79,0,0.03,0.108,0.072
"668",0.982,0,0,0.018,0
"669",0.882,0,0,0.114,0.004
"670",0.944,0,0,0.054,0.002
"671",0.104,0,0,0,0.896
"672",0.756,0,0,0.032,0.212
"673",0,0,0,0,1
"674",0.878,0,0,0.122,0
"675",0.88,0,0,0.062,0.058
"676",0.012,0,0,0,0.988
"677",0.036,0,0.01,0,0.954
"678",0.432,0,0.022,0.076,0.47
"679",0.07,0,0,0.028,0.902
"680",0.864,0,0,0.136,0
"681",0.074,0,0,0.004,0.922
"682",0.256,0,0,0.744,0
"683",0.938,0.002,0,0.004,0.056
"684",0.966,0,0,0.002,0.032
"685",0.292,0,0,0.708,0
"686",0.952,0,0,0.048,0
"687",0,0,0,0,1
"688",1,0,0,0,0
"689",0.674,0,0,0.072,0.254
"690",0.964,0,0,0,0.036
"691",0.902,0,0,0.088,0.01
"692",0.886,0,0,0.068,0.046
"693",0.396,0,0.004,0.6,0
"694",0.256,0,0,0.744,0
"695",0.684,0,0.076,0.11,0.13
"696",0,0,0.01,0,0.99
"697",0.27,0,0,0.73,0
"698",0,0,0,0,1
"699",0.07,0,0,0.028,0.902
"700",0.026,0,0.006,0.442,0.526
"701",0.088,0,0.074,0,0.838
"702",0.988,0,0,0.004,0.008
"703",0.126,0,0,0,0.874
"704",0.752,0,0,0,0.248
"705",0.732,0,0,0.002,0.266
"706",0.994,0,0,0,0.006
"707",0.806,0,0.034,0.114,0.046
"708",0.074,0,0,0.05,0.876
"709",0.98,0,0,0.02,0
"710",0.966,0,0,0.034,0
"711",0.952,0,0,0.048,0
"712",0.95,0,0,0,0.05
"713",0,0,0,0,1
"714",0.76,0,0.002,0.13,0.108
"715",0.74,0,0,0.002,0.258
"716",0.966,0,0,0.034,0
"717",1,0,0,0,0
"718",0,0,0,0,1
"719",0.192,0,0,0.802,0.006
"720",0.974,0,0,0,0.026
"721",0.988,0,0,0.004,0.008
"722",1,0,0,0,0
"723",1,0,0,0,0
"724",0.696,0,0.002,0.046,0.256
"725",1,0,0,0,0
"726",0.962,0,0,0.038,0
"727",0.258,0,0,0.742,0
"728",0.21,0,0,0.768,0.022
"729",1,0,0,0,0
"730",1,0,0,0,0
"731",0.028,0,0,0,0.972
"732",0.188,0,0,0.812,0
"733",0.032,0,0,0,0.968
"734",0.884,0,0,0.116,0
"735",0.074,0,0,0.106,0.82
"736",1,0,0,0,0
"737",0.02,0,0.006,0.574,0.4
"738",0.068,0,0,0,0.932
"739",0,0,0,0,1
"740",0.996,0,0,0,0.004
"741",0.266,0,0.158,0.124,0.452
"742",0.916,0,0,0.042,0.042
"743",0.91,0,0,0,0.09
"744",0.12,0,0,0,0.88
"745",1,0,0,0,0
"746",0.054,0,0,0,0.946
"747",0.972,0,0,0.012,0.016
"748",0.828,0,0.038,0.094,0.04
"749",0.982,0,0,0.018,0
"750",0.004,0,0.002,0,0.994
"751",0.254,0,0,0.746,0
"752",0,0,0,0,1
"753",0.084,0,0.02,0.094,0.802
"754",1,0,0,0,0
"755",0.956,0,0,0.044,0
"756",0.938,0,0,0.056,0.006
"757",0.022,0,0.006,0.68,0.292
"758",0.032,0,0.034,0.876,0.058
"759",0.884,0,0,0.116,0
"760",1,0,0,0,0
"761",0.622,0,0,0.004,0.374
"762",0.89,0,0,0,0.11
"763",0,0,0.004,0,0.996
"764",0,0,0,0,1
"765",0,0,0,0,1
"766",1,0,0,0,0
"767",0,0,0,0,1
"768",0.91,0,0,0.09,0
"769",0,0,0,0,1
"770",0,0,0,0,1
"771",1,0,0,0,0
"772",0,0,0,0,1
"773",0.348,0,0,0.652,0
"774",0.98,0,0,0.02,0
"775",0,0,0,0,1
"776",0.996,0,0.002,0,0.002
"777",0.068,0,0,0.6,0.332
"778",0.264,0,0,0.734,0.002
"779",0.508,0,0,0.492,0
"780",0.052,0,0,0,0.948
"781",0.318,0,0,0.672,0.01
"782",0.288,0,0,0.712,0
"783",0.716,0,0,0.062,0.222
"784",0.882,0,0,0.114,0.004
"785",0.062,0,0.002,0,0.936
"786",1,0,0,0,0
"787",0.068,0,0,0.108,0.824
"788",0.188,0,0,0.812,0
"789",0.236,0,0,0.764,0
"790",0.988,0,0,0.012,0
"791",0.864,0,0,0.004,0.132
"792",0.07,0,0.004,0.028,0.898
"793",0.99,0,0,0.002,0.008
"794",0.296,0,0,0.704,0
"795",0.258,0,0,0.742,0
"796",0.068,0,0,0.154,0.778
"797",0.952,0,0,0.048,0
"798",0.864,0,0,0.136,0
"799",0.758,0,0,0.074,0.168
"800",0.866,0,0,0.134,0
"801",1,0,0,0,0
"802",0.218,0,0,0.774,0.008
"803",0.958,0,0,0,0.042
"804",0.272,0,0,0.728,0
"805",0.914,0,0.016,0.02,0.05
"806",0.086,0.016,0.076,0,0.822
"807",0.904,0,0,0,0.096
"808",1,0,0,0,0
"809",0.098,0.018,0.002,0.354,0.528
"810",0,0,0,0,1
"811",0.91,0,0,0.09,0
"812",0.986,0,0,0.014,0
"813",0.98,0,0,0.02,0
"814",0.49,0,0,0.004,0.506
"815",0.864,0,0,0.136,0
"816",0.632,0,0.008,0.18,0.18
"817",1,0,0,0,0
